community_id,lat,long,map_priority_level_id,map_display_name,map_display_name_script
397,33.587202,102.949819,5,Dzoge,མཛོད་དགེ།
398,35.7503238,102.3459813,5,Bido Gonchen,བིས་མདོ་དགོན་ཆེན།
400,27.587778,90.737778,5,Tamshing Lhakhang,གཏམ་ཞིང་ལྷུན་གྲུབ་ཆོས་གླིང་།
401,35.86000,101.94446,5,Lamo Dechen,ལ་མོ་བདེ་ཆེན་།
404,31.092706,96.995321,5,Drugu,གྲུ་གུ་དགོན།
405,27.582152,89.863091,5,Punakha Dzong,སྤུངས་ཐང་བདེ་བ་ཅན།
406,27.502956,90.505755,5,Trongsa Dzong,ཀྲོང་གསར་རྫོང་།
407,32.75037,102.05579,5,Karchen,དཀར་ཆེན།
409,34.58937,103.24455,5,Gyakhar,རྒྱ་མཁར་དགོན།
410,34.58000,101.33000,5,Urge Dratsang,ཨུརྒེ་གྲྭ་ཚང་།
411,31.75000,100.20000,5,Tongkhor,སྟོང་འཁོར།
412,31.80651,98.58052,5,Parkhang,པར་ཁང་།
415,27.491918,89.565602,3,Pajoding,ཕ་ཇོ་སྡིངས།
416,34.59929,103.10802,5,Luchung Taktsang Gon,སྟག་ཚང་དགོན།
418,27.4565613,89.3893131,5,Sang Chokhor,གསང་ཆོས་འཁོར།
419,,,5,Tasho Pomdrak,ཁྲ་ཤོད་སྤོམ་བྲག།
420,30.00055,91.98757,5,Yangri Gar,ཡང་རི་སྒར།
421,32.23333,99.71667,5,Getse Tralek,དགེ་རྩེ་བཀྲ་ལེགས།
422,33.2248,98.0686,2,Gemang,དགེ་མང་།
423,29.71955,91.11701,5,Pabongkha Hermitage,ཕ་བོང་ཁ་རི་ཁྲོད།
426,31.51667,93.81667,5,Chakri Nyidrak,ཆགས་རི་ཉི་གྲགས།
427,30.648139,98.366486,5,Takmogang,སྟག་མོ་སྒང་།
430,,,5,Rakchab Sengri Dorje Yudzong,རཀ་ཆབ་སེང་རི་རྡོ་རྗེ་གཡུ་རྫོང་།
432,32.01667,99.11667,5,Gyarong Gon,རྒྱལ་རོང་དགོན།
434,35.95000,101.96000,5,Magur Namgyel Ling,རྨ་མགུར་རྣམ་རྒྱལ་གླིང་།
435,29.82363,91.86028,5,Chekha,འཆད་ཁ།
437,37.54184,100.09818,5,Kangtsa,རྐང་ཚ་།
439,32.13379,98.85002,5,Śrī Siṃha College,ཤྲཱི་སིངྷ་བཤད་གྲྭ།
440,36.53000,101.15000,5,Tongkhor,སྟོང་འཁོར།
441,36.95000,102.50000,5,Chorten Tang Tashi Dargye Ling,མཆོད་རྟེན་ཐང་བཀྲ་ཤིས་དར་རྒྱས་གླིང་།
442,36.15132,101.07680,5,Chunak Tashi Choling,ཆུ་ནག་བཀྲ་ཤིས་ཆོས་གླིང་།
443,29.65234,91.10838,4,Chakpori,ལྕགས་པོ་རི།
444,33.23333,98.06667,5,Gegong,དགེ་གོང་།
445,31.64372,98.9662,5,Khamshe,ཁམས་བྱེད།
446,29.089079,88.975784,5,Nyang Tarpa Ling,མྱང་ཐར་པ་གླིང་།
447,31.66667,99.68333,5,Lang Na,གླང་སྣ།
448,28.75000,100.21667,2,Drango,བྲག་མགོ་དགོན།
449,30.96667,100.31667,5,Chagdud,ལྕགས་མདུད།
450,30.96667,100.20000,5,Kelzang Sanggye Choling,བསྐལ་བཟང་སངས་རྒྱས་ཆོས་གླིང་།
452,31.00000,100.31667,5,Tsogyel Jomo,མཚོ་རྒྱལ་ཇོ་མོ།
453,28.95000,87.63333,5,Tubten Gepel,ཐུབ་བསྟན་དགེ་འཕེལ།
455,33.683074,99.4581798,5,Pel Nyenmo Ri Namgyel,དཔལ་སྙན་མོ་རི་རྣམ་རྒྱལ།
459,35.06531,102.88647,5,Khagya Me Monastery,ཁ་གྱ་སྨད་དགོན
463,,,5,Yi,གཡི།
465,35.437825,102.572199,5,Gangya Drakkar Gon,རྒན་རྒྱ་བྲག་དཀར་དགོན།
466,29.45252,92.72956,5,Chokhor Gyel,ཆོས་འཁོར་རྒྱལ།
467,,,5,Tsagen Peshing,ཚ་གན་པེ་ཤིང་།
468,34.689193,100.655994,2,Ragya,རྭ་རྒྱ།
469,33.140498,97.923975,5,Sershul,སེར་ཤུལ།
471,,,5,Junyung Hermitage,འཇུ་ཉུང་རི་ཁྲོད།
472,31.64865,98.79584,2,Pelpung,དཔལ་སྤུངས།
473,,,5,Kaṁpo Nenang,ཀཾ་པོ་གནས་ནང་།
474,35.88000,101.97678,5,Ngagar Jangchub Ling,རྔ་སྒར་བྱང་ཆུབ་གླིང་།
476,30.48333,101.48333,5,Gartar,མགར་ཐར།
479,35.21060,102.83985,5,Terlung Yiga Chodzin Ling,གཏེར་ལུང་ཡིད་དག་ཆོས་འཛིན་གླིང་།
480,34.80092,102.67969,5,Amchok Monastery,ཨ་མཆོག་དགོན།
481,35.494683,102.284510,5,Gartse Tubten Chokhor Ling,འགར་རྩེ་ཐུབ་བསྟན་ཆོས་འཁོར་གླིང་།
482,35.22746,102.65970,5,Martang Obten,མར་ཐང་ཨོབ་བསྟན་དགོན་པ།
484,32.91434,101.69242,2,Kirti,ཀིརྟི།
485,29.24915,91.79376,5,Tsetang,རྩེད་ཐང་།
488,,,5,Wangda,དབང་མདའ།
489,,,5,Denang Monastery,སྡེ་ནང་དགོན།
490,,,5,Tongkyab,སྟོང་སྐྱབས།
496,35.37296,101.95000,5,Dedzom Gatsel,བདེ་འཛོམས་དགའ་ཚལ།
497,35.350908,101.885348,5,Dzongkar,རྫོང་དཀར།
499,35.70587,102.35251,5,Dopuk,རྡོ་ཕུག།
501,35.648363,102.655118,5,Angang,ཨ་འགང་།
504,35.76000,102.28000,5,Karing,ཀ་རིང་།
509,,,5,Gome Oseltang,སྒོམ་མེད་འོད་གསལ་ཐང་།
512,33.00972,97.01750,2,Jyegu Dondrub Ling,སྐྱེ་དགུ་དོན་གྲུབ་གླིང་།
513,,,5,Tum,གཏུམ།
514,29.41667,86.88333,5,Se Trazang,སེ་བཀྲ་བཟང་།
515,,,5,Sang Ngak Tekchokling,གསང་སྔགས་ཐེག་མཆོག་གླིང་།
516,29.35536,91.13459,5,Guru Pema Evaṁ Chokgar,གུ་རུ་པདམ་ཨེ་ཝཾ་ལཆོག་སྒར།
518,31.00000,100.31667,5,Jazi,ཇ་བཟི་།
519,30.90000,99.65000,5,Tromge Gon,ཁྲོམ་དགེ་དགོན།
520,34.61000,98.26000,5,Horkor Gon,ཧོར་སྐོར་དགོན།
522,,,5,Gegyel Dzogchen,དགེ་རྒྱལ་རྫོགས་ཆེན་།
523,29.258865,91.458071,5,Monkhar Namseling,མོན་མཁར་རྣམ་སྲས་གླིང་།
524,,,5,Yangcho Sangcho Pema Lhunding,ཡང་ཆོས་གསང་ཆོས་པདམ་ལྷུན་སྡིངས།
525,32.11666,100.46667,5,Nubzur Gon,གནུབས་ཟུར་དགོན་པ།
526,,,5,Changma Gar,ལྕང་མ་སྒར།
527,32.136742,100.464239,1,Larung Gar,བླ་རུང་སྒར།
529,28.38112,90.71995,5,Lhalung Gon,ལྷ་ལུང་དགོན།
530,,,5,Ganden Mipam Choling,དགའ་ལྡན་མི་ཕམ་ཆོས་གླིང་།
532,37.03000,101.81000,4,Tsenpo,བཙན་པོ།
533,36.59996,102.18059,5,Martsang Drak,དམར་གཙང་བྲག།
535,30.55000,96.63333,5,Pasho Gon,དཔའ་ཤོད་དགོན་པ།
536,29.65650701,91.10623772,5,Kundeling,ཀུན་བདེ་གླིང་།
538,28.39562,92.35266,5,Nyel Drewule Gon,གཉལ་དྲེའུ་ལྷས་དགོན།
540,,,5,Ganden Shedrub Ling,དགའ་ལྡན་བཤད་སྒྲུབ་གླིང་།
544,31.56667,97.13333,5,Gingtang Gon,གིང་ཐང་དགོན།
546,29.45000,88.25000,5,Zhe Dratsang,བཞད་གྲྭ་ཚང་།
547,32.30000,99.75000,5,Khanon Gon,ཁ་ནོན་དགོན།
548,,,5,Kyo,སྐྱོད།
549,,,5,Ram,རམ།
551,,,5,Gyere,གྱེ་རེ།
553,28.43163,91.47381,5,Mawochok,སྨྲ་བོ་ལྕོགས།
557,29.80000,101.51667,5,Rikhud,རི་ཁུད།
560,28.85000,85.73333,5,Pelmo Choding,དཔལ་མོ་ཆོས་སྡིངས་།
561,28.13333,87.11667,2,Shelkar Chode,ཤེལ་དཀར་ཆོས་སྡེ།
563,29.30206,90.73485,5,Chakzam Chuwori,ལྕགས་ཟམ་ཆུ་བོ་རི།
564,28.973832,90.472809,5,Samding Monastery,བསམ་སྡིངས་དགོན་པ།
565,35.54175,102.24534,5,Yama Tashikhyil,གཡའ་མ་བཀྲ་ཤིས་འཁྱིལ།
566,39.94593,116.41104,1,Yonghegong,དགའ་ལྡན་བྱིན་ཆགས་གླིང་།
567,33.2723125,100.6556316,5,Dartang,དར་ཐང་།
571,31.677975,98.628253,5,Alo Peljor Gon,ཨ་ལོ་དཔལ་འབྱོར་དགོན།
572,29.698147,91.136113,5,Sera Choding,སེ་ར་ཆོས་སྡིངས།
573,,,5,Segyu Dratsang,སྲད་རྒྱུད་གྲྭ་ཚང་།
574,,,5,Lhunpo Tse,ལྷུན་པོ་རྩེ།
576,,,5,Lhadong Gon,ལྷ་གདོང་དགོན།
577,,,5,Tong,སྟོང་།
578,,,5,Yudra,གཡུ་སྒྲ།
580,,,5,Yungok,གཡུ་རྔོག།
