person_id,tbrc_id,default_name,tradition_id
11279,P8554,"Kunzang Gyurme",1
11290,P8564,"Jigme Tsewang Dudul",1
11352,P862,"Jangchub Tsondru",1
11417,P8679,"Sanggye Tsepel",1
11427,P8688,"Sonam Chopel",1
11432,P8692,"Guru Tsewang",1
11435,P8695,"Jigme Lodro",1
11443,P8701,"Sonam Jinpa",1
11444,P8702,"Purtsa Khenpo Akon",1
11445,P8704,"Konchok Drakpa",1
11489,P8745,"Kelden Gyatso",1
11490,P8746,"Dorje Rabten",1
11491,P8747,"Sonam Gelek",1
11572,P882,"Jatson Nyingpo",1
11603,P8850,"Jazi Amnye Drodul Pema Garwang Lingpa",1
11741,P8977,"Khenchen Dazer",1
11972,P9187,"Lodro Gyatso",1
12180,P938,"Karma Rangjung Kunkhyab",1
12785,P3JM9,"Japa Dongak Gyatso",1
12865,P1KG1960,"Lhagyari Dechen Trinle Rolpa",1
12906,P3JM101,"Tubten Trinle Gyatso",1
13054,,Testing2,1
13056,,Testing3,1
13057,P3AG58,"Gyelwai Lodro",1
13058,P3AG55,"Wodren Pelgyi Wangchuk",1
13072,P2CZ8003,"Gara Lama Sonam Rabten",1
13077,P3AG56,"Khyeuchung Lotsāwa",1
13120,P2AG27,"Drodul Dorji Tenzin",1
13121,P2AG28,"Drubtob Namgyel Lhundrub",1
13123,P2AG32,"Jigme Tenpai Gyeltsen",1
13124,P2AG29,"Jigme Kundrol Namgyel",1
13127,P2AG36,"Ngawang Tenzin Gyatso",1
13128,P2AG33,"Tekchok Tenpai Gyeltsen",1
13133,P3AG16,"Kunzang Trinle Namgyel",1
13134,P3AG17,"Katokpa Jangchub Gyeltsen",1
13139,P3AG24,"Ayu Khandro Dorje Peldron",1
13142,P3AG26,"Tenpai Nyima",1
13143,P3AG27,"Orgyen Tenpai Nyinje",1
13144,p3ag28,"Orgyen Trinle Dorje",1
13145,P3AG29,"Tendzin Sizhi Namgyel",1
13146,P3AG30,"Orgyen Gelek Namgyel",1
13147,P3AG31,"Drubwang Drakpa Gyeltsen",1
13148,P3JM110,"Konchok Tenpai Gyeltsen",1
13149,P3AG39,"Konchok Jigme Wangpo",1
13150,P3AG40,"Zhonnu Lodro",1
13151,P3AG41,"Konchok Tenpai Nyima",1
13161,,Danzanravjaa,1
