community_id,person_id
293,"2592; 2593; 5817; 5818; 5819"
487,7945
1315,3877
388,4372
492,1564
207,"8; 2336; 2720; 2953; 5641; 6499; 6668; 7581; 7803; 8507; 9105; 9278; 9594; 9622; 9990; 10355; 10617; 10644; 11290; 11883; 11972; 12745; 13187; 13249; 13511; 13512; 13513; 13514; 13515; 13528; 13532; 13533; 13654; 13699; 13700; 13702"
574,3762
1103,"13737; 13823"
1231,"7007; 11131"
1478,7007
249,"1898; 10591"
1662,13823
1186,11597
879,7007
1609,3822
137,12828
1016,8603
1593,"13790; 13791"
1294,"5820; 7090"
181,"4358; 7326; 8578; 10815"
416,"6345; 6353"
878,"5871; 13683"
1494,"10355; 13745"
1762,2953
242,12096
434,"3061; 6667; 8861"
1431,"3485; 3627; 9612; 10617"
1725,13884
1222,"2662; 2806; 6979; 9923; 12403; 13174; 13566; 13740; 13743; 13883"
1183,"4358; 9622"
1180,6586
1125,"13877; 13878"
1073,"9; 7442; 9278; 13648"
482,6045
533,6161
1405,13652
553,"2810; 4358; 5999; 6010; 13843"
923,"2943; 6646; 7879"
318,"2871; 2891; 8354; 8964; 13195"
1530,"12439; 13693; 13694"
117,3939
116,13065
1036,5326
1147,2943
1126,2427
244,"2980; 2987; 10961; 12096; 13118; 13132; 13135; 13140; 13174; 13220; 13221; 13531; 13596"
1266,13596
915,"3307; 3955; 5894; 5897; 8906; 12439; 13598; 13693; 13694"
1756,9278
1115,5641
880,6498
722,5717
1761,2953
10,"3883; 4080; 4291; 4358; 4659; 4691; 5151; 5159; 5805; 6668; 6982; 8181; 9254; 9361; 9383; 9394; 9579; 9590; 10633; 11741; 12980; 13123; 13124; 13197; 13453; 13454; 13455; 13654; 13692"
1433,10617
365,9523
523,"9169; 13190"
1600,12479
1683,11437
367,"1575; 2949; 5824; 9523; 9873; 11569"
825,"4354; 6100"
1096,"8972; 9047; 9105; 9190"
1410,13652
250,1898
1537,12839
510,"4228; 11427"
1038,6344
1065,"1728; 2810; 4354; 5461; 5717; 6037; 6892; 10280; 10546; 13066"
1025,"2916; 5401"
128,"1820; 1985; 4119; 4220; 4310; 6351; 6735; 10355; 10579; 11158; 12479; 12613; 13131; 13707; 13721; 13787; 13788; 13789; 13790; 13793; 13798; 13806"
1227,8181
688,"8972; 10146; 11741"
1354,11741
892,"2339; 3085; 3107; 3307; 4141; 4259; 4314; 4469; 5871; 6065; 12828"
1727,13884
1596,"12479; 13790"
1341,"4358; 10699"
1053,4115
503,6635
1333,"7007; 8782"
1297,8571
1272,"1659; 2584; 6037; 6668; 6671; 6681; 7673; 13165; 13233"
248,8181
1165,"2755; 2854; 2996"
904,3866
73,"11865; 11877"
1442,"11231; 11385"
62,"2181; 2483; 2577; 2578; 2662; 2845; 2866; 3762; 3957; 4114; 4150; 4168; 4261; 4359; 5555; 5750; 5790; 5805; 6037; 6393; 6491; 6895; 8730; 10480; 10579; 10623; 10687; 13199"
1368,10961
1176,7083
1647,"3627; 9612"
893,"6065; 13628; 13725"
1196,"8964; 11285"
1276,3194
1676,9895
1001,"3165; 3175"
331,"1659; 4358; 9634; 12839"
120,"2670; 8354; 10480"
59,"2069; 8181; 13747"
291,2591
1386,5820
474,"3296; 6099; 6670"
333,"2812; 2997; 3736; 4092; 4170; 5985; 6278; 6586; 8105; 10452; 10548; 10591"
944,13435
140,"7565; 9361; 11114"
368,"2787; 2943; 4730; 9523"
1352,9945
956,4166
32,"1820; 1831; 1898; 1930; 1963; 2340; 2387; 2866; 3200; 3671; 4085; 4119; 4164; 4217; 4219; 4220; 4221; 4222; 4223; 4224; 4225; 4227; 4291; 4820; 7064; 7581; 7718; 9105; 9213; 9990; 10202; 10203; 10452; 10462; 10470; 10497; 10507; 10528; 10623; 10633; 10644; 10699; 10742; 10753; 10815; 11972; 12479; 12741; 12743; 12745; 13246; 13248; 13249; 13511; 13532; 13647; 13654; 13677; 13679; 13721; 13745; 13787; 13788; 13794; 13795; 13796; 13797; 13798"
295,"3153; 4402; 4631"
362,7937
906,"2339; 2419; 3107; 3307; 3822; 4141; 4259; 4314; 5897; 7007; 12479; 13628; 13683; 13694"
1228,3141
525,10457
1307,3770
1012,2340
446,2845
986,6620
910,10199
1224,4125
1327,"13628; 13683; 13724"
713,"6134; 6726"
1042,8861
538,10857
1402,"1659; 6668; 6690; 13086; 13092; 13196; 13707; 13817"
697,"2953; 8650; 8651; 9083"
276,"7370; 10452"
92,"2491; 2801; 3673; 3936; 3939; 5717; 6452"
306,"3877; 11865"
1317,"3877; 12180"
1051,"9622; 10093"
312,"6219; 9062"
917,10482
1664,10019
1728,13884
826,"2992; 8584; 8596; 8603; 8616; 8617"
44,"8177; 9895; 9929; 12980"
1331,"23; 10280"
212,"3866; 4077; 13176; 13177"
1093,6353
1667,10019
1737,13884
475,6099
423,"3989; 6622; 8986; 9062; 12479"
1589,13743
415,"7815; 7874"
357,"2819; 4495; 8086; 8097"
1738,13884
98,5858
1657,8972
844,"12980; 13519; 13520; 13521; 13522; 13523; 13625; 13708"
1342,4358
959,3744
1627,13248
346,5729
384,8028
1145,"96; 10019; 10311; 10373; 11385; 13086; 13119; 13121; 13648"
151,"6159; 7636"
535,"4163; 4380; 5328; 6580; 9693; 10394"
241,12096
1201,13588
455,"5897; 7945"
814,"29; 2814"
1170,4425
102,"3152; 3736; 4168; 5805; 6856; 7348; 9213; 11285; 12521; 12553; 13063; 13863"
247,8181
472,"2541; 2640; 2730; 4228; 4291; 4358; 4691; 6499; 8126; 8181; 8507; 8825; 8892; 9047; 9622; 9990; 10018; 10355; 11385; 12180; 13230; 13659; 13686; 13692; 13707; 13721; 13747; 13837; 13838; 13839; 13840; 13841; 13860"
1649,"3627; 9612"
253,"3627; 5457; 6668; 8964; 9469"
124,3937
14,"2992; 4358; 4622; 4676; 7581; 7582; 7681; 8574; 8584; 8753; 8754; 8757; 8892; 8972; 9047; 9105; 9126; 9190; 9895; 10018; 11003; 11245; 11246; 11258; 11277; 11278; 11279; 13511; 13864"
1544,12839
1541,"10019; 12839; 13686"
1436,"2541; 3436; 9895; 10617"
1245,"4291; 8181; 8538; 8825; 13653; 13654"
1350,4358
1353,"11741; 13648; 13687; 13812"
1259,10480
1412,13652
371,"13121; 13123"
1409,13652
282,"4358; 13230"
1422,"6076; 7305; 13823"
701,"13738; 13821; 13824; 13825"
101,4168
1480,"5706; 5901; 13666"
1273,"3778; 3789"
560,13205
905,"2180; 2339; 2419; 2787; 3107; 3152; 3307; 3866; 4141; 4259; 4282; 4309; 4314; 4358; 4380; 4469; 5652; 5871; 6009; 6065; 6874; 7007; 8538; 9361; 13628; 13652; 13683; 13707"
1557,"13628; 13683; 13701"
267,8103
224,5786
226,"5822; 6452"
687,"2639; 10824; 13235; 13236"
405,"7601; 7622; 7719; 7803; 7815; 13740; 13743"
1336,"2740; 3004"
846,"7929; 13425"
939,"10613; 11883"
108,13064
294,"1586; 2329; 3008; 3414; 5479"
359,4498
1567,13707
468,"2974; 3822; 5479; 13201"
1110,"8754; 11741"
321,"1586; 8986"
430,"8625; 8972"
1002,13679
1529,13687
87,"2338; 2670; 2801; 3004; 3028; 3307; 3736; 3759; 3822; 4348; 4349; 4350; 4352; 8361; 8637; 10442; 10531; 10536; 10857; 11441; 11865; 11877; 11898; 11909; 11942; 11986; 13125; 13740; 13743"
899,"2812; 3182; 7162; 9383; 9935; 10811; 13693"
1261,6470
205,8752
305,"2854; 2912; 3877; 9213; 10480"
225,"1981; 6856; 9126"
