historical_period_facet_id,person_id,default_name,birth_year,death_year,birth_approx,death_approx,historical_period_id,historical_period_name
14334,9622,"Khenpo Zhenga Zhenpen Chokyi Nangwa",1871,1927,0,0,77,"20th Century"
14341,3866,"Gendun Chopel",1903,1951,0,0,77,"20th Century"
14343,2949,"Muge Samten Gyatso",1914,1993,0,0,77,"20th Century"
14372,12180,"Karma Rangjung Kunkhyab",1905,1989,0,0,77,"20th Century"
14397,9594,"Kunga Pelden",1878,1944,0,0,77,"20th Century"
14406,13561,"Lhagyari Namgyel Wangchuk",NULL,1912,0,0,77,"20th Century"
14407,13564,"Lhagyari Kelzang Nyendrak",NULL,1952,0,1,77,"20th Century"
14411,9305,"Tsarong Wangchuk Gyalpo",1866,1912,0,0,77,"20th Century"
14423,13522,"Tobgyal Pangdatsang",1904,1972,0,0,77,"20th Century"
14425,13523,"Lobzang Yampel Pangdatsang",1900,1972,1,0,77,"20th Century"
14427,13521,"Rapga Pangdatsang",1902,1976,0,0,77,"20th Century"
14473,3955,"Khyenrab Norbu",1883,1962,0,0,77,"20th Century"
14495,4820,"Druk Khenpo Ngawang Yonten Gyatso",1902,1963,0,1,77,"20th Century"
14523,12741,"Nyiga Kunga Nyima",1846,1925,0,0,77,"20th Century"
14569,5044,"Tsering Norbu",NULL,NULL,0,0,77,"20th Century"
14570,5121,Chonam,NULL,NULL,0,0,77,"20th Century"
14590,8629,"Pema Trinle",NULL,NULL,0,0,77,"20th Century"
14610,2541,"Takla Norbu",1889,1958,0,0,77,"20th Century"
14637,7881,"Jamyang Tenzin Gyatso",1854,1919,0,0,77,"20th Century"
14638,7929,"Tsarong Dasang Damdul",1888,1959,0,0,77,"20th Century"
14674,2784,"Lobzang Jamyang Yeshe Tenpai Gyeltsen",1916,1947,0,0,77,"20th Century"
14706,13598,"Yangchen Lhamo",1907,1973,0,1,77,"20th Century"
14731,13549,"Lo Nyendrak Sadutshang",NULL,1980,0,1,77,"20th Century"
14733,9983,"Tsongkha Lhamo Tsering",1924,1999,0,0,77,"20th Century"
14739,13519,"Nyigyel Pangdatsang",1865,1921,1,0,77,"20th Century"
14746,12553,"Dampa Rinpoche Ngawang Lodro Zhenpen Nyingpo",1876,1952,0,0,77,"20th Century"
14783,4282,"Lobzang Gyeltsen",1840,NULL,0,0,77,"20th Century"
14792,13082,"Kyabje Yongdzin Tsultrim Gyeltsen",1893,1967,0,0,77,"20th Century"
14815,13659,"Tokden Orgyen Tenzin",1888,1961,0,0,77,"20th Century"
14827,11385,"Rangjung Rigpai Dorje",1924,1981,0,0,77,"20th Century"
14831,13687,"Lobzang Mingyur Dorje",1875,1948,0,0,77,"20th Century"
14837,13692,"Konchok Peldron",1850,1930,1,1,77,"20th Century"
14842,13653,"Jamyang Chokyi Wangpo",1894,1909,0,0,77,"20th Century"
14848,13677,"Ngawang Nyima",1872,1951,0,0,77,"20th Century"
14849,13684,"Ani Trinle Chodron",1938,1970,0,0,77,"20th Century"
14861,13666,"Pawo Wangchuk Tengpa Lobzang Nyima",1895,1964,1,0,77,"20th Century"
14863,13648,"Sindrang Yab Gomchen Dorje Lopen Chewang Rinzin Tagchungdarpa",1925,2020,0,0,77,"20th Century"
14865,13655,"Pelgon Trinle Rabten",1916,1966,0,0,77,"20th Century"
14899,4000,"Pema Vajra Jampel Tenpai Ngodrub",1876,1935,0,0,77,"20th Century"
14935,3485,"Do Dasel Wangmo",1928,2018,0,0,77,"20th Century"
14960,13699,"Ngawang Jampel Rinchen",NULL,1918,0,0,77,"20th Century"
14963,13700,"Dorje Sengge",1877,1919,0,0,77,"20th Century"
14971,11290,"Jigme Tsewang Dudul",1916,1942,0,0,77,"20th Century"
14977,13702,"Orgyen Kyab",1940,1992,0,0,77,"20th Century"
14990,12096,"Sanggye Tendzin",1912,1978,0,0,77,"20th Century"
15059,3152,"Shukseb Jetsun Choying Zangmo",1853,1951,0,0,77,"20th Century"
15069,13701,"Jago Tobden",1898,1960,0,0,77,"20th Century"
15073,9301,"Shatra Peljor Dorje",NULL,1919,0,0,77,"20th Century"
15076,8507,"Chokyi Wozer",1889,1960,0,0,77,"20th Century"
15085,12500,"Dezhung Chopel Jamyang Kunga Namgyel",1880,1950,1,1,77,"20th Century"
15098,13707,"Tubten Gyeltsen",1902,1971,0,0,77,"20th Century"
15100,2069,"Rinchen Dorje",NULL,1959,0,0,77,"20th Century"
15102,12743,"Damcho Wozer",1908,1960,1,1,77,"20th Century"
15106,12742,"Khyenrab Sengge",1911,1970,0,0,77,"20th Century"
15119,5897,"Amdo Geshe Jampel Rolpai Lodro",1888,1936,0,0,77,"20th Century"
15128,11798,"Yuthok Dorje Yudon",1912,1998,0,0,77,"20th Century"
15136,12171,"Lobzang Dorje",1893,1983,0,0,77,"20th Century"
15179,2418,"Ngawang Lobzang",1880,1957,0,0,77,"20th Century"
15180,2423,"Surkhang Wangchen Gelek",1910,1977,0,0,77,"20th Century"
15184,2758,"Kelzang Tubten Wangchuk",1856,1916,0,0,77,"20th Century"
15193,13720,"Khangsar Yangchen Drolma",1854,1935,0,0,77,"20th Century"
15196,13721,"Drayab Tubten Zangpo",1891,1930,1,1,77,"20th Century"
15242,13722,"Drumpa Namgyel Gyeltsen",1898,1930,0,0,77,"20th Century"
15265,13725,"Lhalung Gyeltsen Tarchin",1893,1962,0,1,77,"20th Century"
15267,13625,"Tsarong Pema Dolkar",1892,1957,0,0,77,"20th Century"
15273,10093,"Botrul Dongak Tenpai Nyima",1898,1959,0,0,77,"20th Century"
15280,9333,"Yuthok Tashi Dhondup",1906,1983,0,0,77,"20th Century"
15284,11790,"Surkhang Wangchen Tseten",1891,1953,0,0,77,"20th Century"
15285,5894,"Tubten Lhundrub",1906,1955,0,0,77,"20th Century"
15289,13611,"K. Dhondup",1952,1995,0,0,77,"20th Century"
15327,13689,"Chime Rigdzin",1922,2002,0,0,77,"20th Century"
15333,9712,"Gendun Tendzin Gyeltsen",1896,1944,0,0,77,"20th Century"
