TOL Source ID,Source,PLACE ID,Source Display,Pages,BDRC ID,VIAF ID,OCLC ID,url other,Source Lang Tag,Source Display Lang Tag
19,,1361,"<p>
Lha lung &#39;chi med rdo rje and Zla g.yang. 2009. <em>Khams sde dge rgyal po&#39;i srid don lo rgyus</em>. Beijing: krung go&#39;i bod rig pa dpe skrun khang, p. 158.</p>",,MW1KG5539,,,,,
19,,1558,"<p>
Lha lung &#39;chi med rdo rje.&nbsp;2009.<em> Khams sde dge rgyal poʼi srid don lo rgyus</em>. Pe cin: Krung goʼi bod rig pa dpe skrun khang.</p>",,MW1KG5539,,,,,
19,,1491,"<p>&#39;Chi med rdo rje and Zla dbyangs. 2009. <em>Khams sde dge rgyal po&#39;i srid don lo gyus</em>. Beijing: Krung go&#39;i bod rig pa dpe skrun khang, p. 123</p>",123,MW1KG5539,,,,,
20,,1529,"<p>
Acharya Samten Gyatso Lapcha. 2008. &#39;bras ljongs dgon sde&#39;i lo rgyus. Gangtok, Namgyal Institute of Tibetology, p. 88. TBRC W1KG879</p>",88,MW1KG879,,,,,
20,,1528,"<p>
Acharya Samten Gyatso Lapcha. 2008. <em>&#39;bras ljongs dgon sde&#39;i lo rgy</em>us. Gangtok: Namgyal Institute of Tibetology, p. 143. TBRC W1KG879.</p>",143,MW1KG879,,,,,
20,,1353,"<p>
Acharya Samten Gyatso Lapcha. 2008. <em>&#39;bras ljongs dgon sde&#39;i lo rgyus.&nbsp;</em>Gangtok, Namgyal Institute of Tibetology, p. 9.&nbsp;</p>",9,MW1KG879,,,,,
20,,1144,"<p>
Acharya Samten Gyatso Lapcha. 2008. <em>&#39;bras ljongs dgon sde&#39;i lo rgyus.</em>&nbsp;Gangtok, Namgyal Institute of Tibetology, p. 44.</p>",44,MW1KG879,,,,,
20,,1526,"<p>
Acharya Samten Gyatso Lapcha. 2008.&nbsp;<em>&#39;bras ljongs dgon sde&#39;i lo rgyus</em>. Gangtok, Namgyal Institute of Tibetology, p. 114. TBRC W1KG879.</p>",114,MW1KG879,,,,,
21,,1229,"<p>
Smith, Gene. N.D. &quot;har gdong khams tshan (&#39;bras spungs sgo mang).&quot; In&nbsp;D<em>bus gtsang khul du shing par ji bzhugs kyi dkar chag phan bde&#39;i pad tshal &#39;byed pa&#39;i nyin byed</em>, pp.&nbsp;145-146.</p>",145-146,MW1KG9262,,,,,
21,,1469,"<p>
Smith, Gene. N.D. <em>Sgar pa ri khrod</em>. In <em>Dbus gtsang khul du shing par ji bzhugs kyi dkar chag phan bde&#39;i pad tshal &#39;byed pa&#39;i nyin byed</em>, pp. 147-148.</p>",147-148,MW1KG9262,,,,,
22,,1172,"<p>
thub bstan chos dar. 2008. <em>mdo mkhyen brtse ye shes rdo rje&#39;i gdung rgyud rim byon gyi rnam thar gsal ba&#39;i me long</em>. 1 vols. pe cin: krung go&#39;i bod rig pa dpe skrun khang.</p>",,MW1KG987,,,,,
22,,1436,"<p>
Thub bstan chos dar. 2008. <i>Mdo mkhyen brtse ye shes rdo rje&#39;i gdung rgyud rim byon gyi rnam thar gsal ba&#39;i me long</i>. Pe cin: Krung go&#39;i bod rig pa dpe skrun khang, pp. 85, 246.</p>","85, 246",MW1KG987,,,,,
22,,420,"<p>
Thub bstan chos dar. 2008.&nbsp;<em>Mdo mkhyen brtse ye shes rdo rje&#39;i gdung rgyud rim byon gyi rnam thar gsal ba&#39;i me long</em>. Beijing, Krung go&rsquo;i bod rig pa dpe skrun khang, p. 14.</p>",14,MW1KG987,,,,,
22,,1432,"<p>
mi nyag pa thub bstan chos dar. 2008. <em>mdo mkhyen brtse ye shes rdo rje&#39;i gdung rgyud rim byon gyi rnam thar gsal ba&#39;i me long</em>. pe cin: krung go&#39;i bod rig pa dpe skrun khang, p. 98.</p>
<p>
&nbsp;</p>",,MW1KG987,,,,,
